strawberry	arugula	rhubarb	beet	banana	cranberry	elderberry	raisin	watermelon	tomato	chestnut	pea	currant	nectarine	cabbage	okra	lettuce	pineapple	ginger	mulberry	artichoke	fig	kiwi	quince	asparagus	olive	kohlrabi	chickpea	potato	fennel	thyme	plantain	type
88	14	147	1	55	324	1	0	118	92	2	121	71	9	5	2	21	0	64	3	184	110	358	3	270	33	4	96	1	180	194	3	8
436	25	127	0	67	224	2	192	220	37	0	87	258	63	1	1	39	277	132	25	110	45	35	0	193	90	0	16	0	24	129	82	9
105	227	160	1	222	29	0	170	229	249	2	21	18	105	1	2	301	146	63	55	418	66	566	1	278	49	2	173	2	19	18	138	9
329	96	172	25	88	146	130	2	173	139	159	56	164	49	229	83	76	0	13	0	199	45	271	256	232	122	64	144	60	164	52	0	14
2	146	15	200	79	45	26	0	20	27	115	119	51	63	392	169	73	1	51	0	4	206	0	279	1	307	46	87	82	49	41	3	6
0	195	31	57	375	378	78	248	15	89	173	147	67	91	2	1	59	50	95	124	1	285	0	0	4	115	0	61	26	186	23	284	5
320	42	455	1	134	64	1	0	81	37	0	90	62	44	0	3	53	0	49	2	307	10	161	0	235	205	1	58	0	65	71	1	8
489	158	87	317	221	35	137	4	71	55	67	117	230	35	156	76	96	0	62	0	42	55	158	207	62	78	81	155	106	69	27	4	14
3	102	0	564	85	112	217	81	113	117	229	10	29	23	191	40	54	103	122	14	0	119	2	170	2	24	74	123	52	45	192	96	7
0	17	14	240	161	26	303	1	114	287	275	11	49	99	2	1	50	1	38	1	3	5	1	0	0	81	1	147	188	14	99	0	4
231	137	121	1060	178	186	595	183	222	104	680	262	8	46	0	1	3	268	32	87	277	120	330	4	121	24	0	154	196	53	135	315	13
2	59	107	0	216	93	1	115	133	136	0	296	49	109	262	68	78	113	7	84	1	25	0	206	3	166	77	56	0	144	132	245	3
0	112	65	121	90	49	131	130	31	212	274	6	45	130	0	2	55	199	90	70	0	160	0	1	1	66	1	131	297	101	131	324	5
93	178	80	0	215	48	0	0	24	230	0	93	68	75	1	0	10	0	108	2	122	392	89	0	275	88	0	70	1	33	138	0	8
1	185	62	1	34	22	0	1	100	102	3	179	33	127	164	144	253	4	69	0	1	10	0	271	1	25	289	120	3	78	151	0	2
0	73	76	0	164	15	5	4	57	90	1	12	48	30	92	62	104	2	125	1	4	188	1	296	1	151	234	21	0	243	29	0	2
1	178	180	150	70	93	277	2	53	20	47	103	73	82	1	0	26	0	19	0	0	217	0	1	1	91	1	156	164	89	58	0	4
249	24	18	411	6	128	205	208	111	1	154	33	43	78	247	21	4	153	268	249	265	124	207	218	143	45	29	188	186	41	92	106	15
200	134	133	1	267	5	3	0	237	27	2	64	17	4	21	309	124	3	48	1	369	25	44	208	384	85	156	56	1	7	71	1	10
215	40	77	126	150	14	36	0	67	141	55	15	34	81	0	0	27	2	44	0	149	136	141	0	32	8	2	100	37	18	53	4	12
153	43	256	199	69	196	258	0	35	159	77	127	75	101	35	19	64	0	49	0	299	118	504	309	74	153	98	171	103	86	64	0	14
0	40	365	0	18	102	0	141	57	91	0	121	192	122	4	0	20	113	156	83	4	53	1	3	1	13	1	90	0	51	93	159	1
0	155	78	72	21	103	49	26	105	148	552	11	36	243	1	1	39	128	103	140	0	21	4	0	2	111	0	190	213	156	75	94	5
235	23	102	1	108	49	0	0	114	57	4	83	115	149	301	207	48	0	78	3	32	46	118	69	80	172	209	70	2	49	98	0	10
213	8	22	1	126	52	0	0	6	144	1	13	43	350	139	105	118	5	13	0	69	45	202	34	251	320	329	94	0	3	59	0	10
1	24	28	0	79	92	2	353	177	39	0	24	128	43	140	83	97	107	27	169	1	170	1	92	3	57	33	188	0	167	64	217	3
0	425	167	1	58	154	0	295	9	270	0	95	162	448	249	47	44	69	195	203	0	2	1	282	1	103	249	103	1	154	52	439	3
1	84	28	0	50	155	1	500	155	135	0	167	95	193	110	125	19	197	65	38	0	17	0	279	0	143	191	253	0	195	124	206	3
189	117	67	204	224	45	250	151	31	196	50	215	90	95	578	73	41	46	290	63	297	281	189	95	40	43	222	13	656	41	70	298	15
2	48	47	452	36	13	101	2	58	36	126	24	38	26	152	47	80	1	20	3	0	183	0	173	1	174	126	122	168	175	69	1	6
163	92	68	0	202	500	0	0	92	115	3	78	17	52	0	1	36	1	53	0	119	164	326	1	90	148	0	144	1	109	177	0	8
227	84	77	0	28	57	1	1	45	89	0	9	17	74	135	268	65	4	54	1	43	171	182	200	99	126	90	42	0	127	88	0	10
330	71	181	123	34	297	160	25	10	242	219	45	55	127	2	2	127	456	107	138	67	198	61	1	84	32	7	21	52	198	126	145	13
0	104	202	0	144	152	0	1	140	80	1	191	120	109	1	1	48	1	88	1	1	31	3	1	0	137	4	59	1	38	12	0	0
377	17	85	2	118	147	2	99	21	100	0	93	39	121	0	0	30	385	93	146	38	39	112	1	80	18	0	125	1	3	61	231	9
40	180	37	1	156	122	2	0	55	185	0	55	140	232	386	131	127	7	41	0	54	102	891	159	140	74	205	93	0	42	7	2	10
28	79	135	0	53	79	0	0	45	209	1	12	72	23	254	58	37	0	96	0	100	200	60	245	225	70	153	111	4	143	129	0	10
0	133	110	1	10	181	0	125	7	45	1	122	190	80	0	0	136	92	115	46	0	52	0	1	3	55	0	59	3	455	120	296	1
1	141	82	447	169	69	161	0	42	15	537	40	113	7	46	86	38	0	86	2	1	194	0	48	2	38	268	51	122	122	108	0	6
277	48	78	1	89	143	1	0	47	122	2	202	111	32	0	1	48	0	164	2	142	59	306	0	258	76	1	36	0	54	268	1	8
0	148	103	0	104	71	1	301	32	88	1	89	109	173	375	487	12	104	228	288	0	44	0	285	2	9	173	202	3	150	106	237	3
0	98	89	1	180	48	0	0	88	23	1	128	19	21	619	186	81	0	77	0	2	56	0	345	0	43	78	270	4	171	35	0	2
0	209	73	0	150	29	0	4	168	126	2	54	38	62	323	401	67	1	61	0	0	72	1	262	4	139	132	59	0	166	24	1	2
67	13	111	69	150	93	341	2	405	134	96	81	43	18	0	0	155	0	63	2	359	219	148	0	256	73	0	28	147	102	55	2	12
503	200	26	1	142	159	1	4	19	43	0	163	16	151	0	2	137	0	17	1	97	133	124	1	109	58	1	157	1	370	46	0	8
672	123	68	0	372	231	1	622	61	296	2	113	141	200	2	1	123	334	35	361	107	279	175	1	435	21	1	144	0	134	219	179	9
0	6	118	116	82	102	484	229	82	335	252	133	117	108	1	0	60	250	13	311	0	105	2	2	2	165	0	104	400	16	146	148	5
88	29	30	0	16	81	0	563	38	261	6	140	50	13	1	0	39	61	108	244	310	51	559	0	272	63	1	53	1	128	85	352	9
1	48	6	100	93	51	574	126	38	82	473	168	28	15	250	30	71	351	31	297	0	26	0	242	1	175	103	12	73	123	19	155	7
0	117	43	1	69	90	0	284	171	112	0	193	31	109	215	60	104	101	42	187	1	161	5	104	1	154	93	297	1	84	89	150	3
1	73	62	1	67	11	2	2	110	12	1	73	53	30	3	0	135	0	93	1	123	314	76	1	80	24	1	19	4	129	145	1	8
113	51	56	300	48	84	180	0	91	68	144	176	86	49	304	98	193	2	33	0	125	21	335	764	179	11	786	68	214	70	6	2	14
169	33	4	126	89	106	332	262	181	127	128	123	83	28	40	19	9	124	50	169	260	212	133	219	33	158	51	109	127	227	121	45	15
0	163	202	0	310	439	3	3	45	286	0	81	89	81	138	611	21	0	95	2	1	44	0	224	2	79	92	39	1	110	28	2	2
1	73	160	0	214	37	0	29	130	121	5	47	80	284	311	131	25	367	94	551	0	39	3	407	3	98	222	54	0	57	16	75	3
118	64	185	0	25	52	0	0	160	169	1	53	60	89	1	0	26	0	106	4	199	110	140	2	48	183	0	95	0	138	293	1	8
249	133	232	500	24	36	308	109	97	133	32	321	215	133	235	644	116	97	71	128	88	53	207	146	126	11	82	203	94	82	12	209	15
1	57	53	48	255	80	105	90	163	94	289	93	318	210	1	3	762	25	97	432	0	227	1	0	3	64	0	43	39	53	23	153	5
342	130	13	1	100	148	0	2	40	80	0	419	40	123	83	117	103	1	41	4	184	51	151	57	111	138	212	127	0	116	78	2	10
0	3	41	1	74	378	0	0	35	21	1	59	19	91	407	55	89	0	99	1	0	28	1	379	0	164	16	66	0	57	30	0	2
689	116	76	2	116	193	1	0	113	56	2	67	83	78	131	427	78	0	190	1	113	26	50	319	228	113	43	47	0	51	37	1	10
0	89	40	1	60	20	0	134	255	203	2	134	87	106	151	318	131	436	214	214	2	110	0	185	1	73	199	31	0	70	25	82	3
150	94	57	42	49	3	299	333	14	44	113	165	59	43	0	0	69	116	105	80	56	85	107	0	10	172	1	117	106	63	131	101	13
37	93	67	0	81	133	2	4	9	95	0	21	339	48	0	0	193	0	35	1	404	86	337	1	331	45	3	91	1	133	77	3	8
599	24	30	44	12	29	198	0	18	63	479	58	81	69	243	167	246	0	5	1	102	122	81	649	274	107	78	54	72	189	97	1	14
206	79	37	149	61	156	547	114	60	146	415	170	79	96	0	1	34	285	31	324	62	124	82	1	71	58	1	78	110	143	14	241	13
0	38	112	144	125	59	33	0	172	18	184	38	96	28	1	0	74	5	211	1	5	62	0	1	3	19	1	111	178	93	170	1	4
221	187	16	4	41	135	2	0	83	58	3	31	40	51	0	1	36	1	149	2	56	28	50	2	564	219	0	267	4	136	7	0	8
0	49	142	69	235	112	77	48	85	105	107	113	34	105	136	453	69	200	36	64	0	43	3	177	0	163	242	34	82	33	142	69	7
79	228	51	217	29	69	27	186	55	108	145	18	76	165	0	0	34	128	156	139	687	50	147	1	192	134	0	50	339	190	32	133	13
127	47	13	1	54	23	4	165	183	98	2	79	77	105	0	0	140	198	204	132	204	94	552	2	79	59	0	161	1	65	37	208	9
75	121	171	3	159	138	0	300	38	18	4	57	109	108	1	0	31	314	17	297	209	34	346	1	445	27	5	145	0	31	123	54	9
0	52	20	29	54	61	277	44	76	42	61	157	39	62	122	290	88	12	180	70	3	54	0	24	0	96	140	7	62	138	117	277	7
2	30	77	0	97	20	2	24	114	29	1	38	379	27	0	0	95	50	51	472	1	166	1	0	4	223	2	113	0	11	126	201	1
0	90	38	0	84	43	2	0	106	128	2	184	62	340	311	228	39	1	249	4	3	237	0	240	2	135	402	13	4	8	49	0	2
3	35	124	233	75	72	171	411	22	132	174	124	181	25	69	162	91	479	15	59	3	87	0	353	2	67	136	29	108	156	155	273	7
0	232	198	0	98	52	1	169	61	80	1	235	65	27	198	260	142	362	64	115	3	97	0	1204	0	70	31	5	2	32	69	23	3
69	20	18	334	175	48	307	129	64	127	34	18	335	130	70	238	106	696	69	211	444	138	223	64	88	449	134	68	202	114	59	447	15
2	137	186	0	37	185	2	397	158	168	1	70	84	22	291	217	95	245	29	809	0	89	0	342	2	141	144	14	1	160	93	232	3
0	35	73	29	123	115	119	0	46	22	87	24	44	171	0	0	140	1	149	0	1	144	0	0	0	58	0	171	8	23	28	0	4
0	249	74	0	63	58	1	48	45	47	0	205	57	11	157	107	296	329	18	219	0	26	2	217	0	71	29	153	1	39	57	42	3
0	175	118	304	116	98	72	75	28	130	279	141	115	54	460	205	100	118	65	79	0	53	3	45	0	109	333	343	121	76	41	190	7
2	212	37	426	25	63	56	1	81	62	160	223	183	85	56	319	160	1	79	1	1	139	0	81	0	51	111	7	156	162	155	1	6
352	126	3	60	80	81	100	236	18	125	179	38	137	48	654	89	20	119	119	21	125	156	269	396	40	94	59	63	174	330	200	19	15
80	65	128	0	10	33	1	50	185	30	1	203	59	59	0	2	5	188	33	478	246	97	619	3	44	124	3	42	0	49	94	97	9
203	108	91	48	97	17	219	124	84	102	176	79	295	107	1	1	52	765	80	477	74	70	111	1	250	82	0	83	24	108	118	143	13
1	57	19	0	19	155	0	134	307	32	0	60	163	131	2	1	32	474	38	412	0	49	4	0	0	74	1	25	1	22	261	132	1
121	19	135	1	42	10	0	2	71	132	2	59	280	2	178	40	123	1	17	1	167	55	629	441	357	113	393	24	0	14	70	1	10
53	88	41	3	71	71	0	677	129	64	2	72	32	450	0	1	27	414	84	255	134	89	92	0	113	132	1	198	2	172	11	106	9
2	112	29	116	357	18	274	0	26	149	116	318	6	85	64	37	106	0	86	0	157	333	450	341	183	90	335	77	356	39	138	0	14
132	162	227	103	36	136	335	27	171	207	448	47	10	85	43	290	79	81	80	310	460	228	205	388	156	30	511	167	284	101	25	149	15
186	132	177	87	87	16	541	0	128	59	45	18	151	39	120	29	60	2	32	0	48	196	42	225	323	195	38	47	74	273	188	1	14
262	65	247	238	20	61	277	0	15	53	354	97	57	178	0	0	197	0	24	0	44	30	292	0	51	50	4	84	51	216	99	0	12
2	84	143	457	190	132	102	230	189	24	305	46	77	286	0	0	142	48	159	263	0	64	0	4	0	114	0	87	196	67	64	149	5
0	33	203	58	65	108	134	1	26	27	301	150	184	170	0	1	83	0	94	0	0	21	0	3	2	105	0	19	45	1	94	1	4
133	43	32	132	201	100	64	87	37	33	110	3	25	36	50	98	42	33	381	458	316	108	337	140	23	57	112	124	259	76	24	479	15
3	40	50	1	115	81	0	62	40	142	3	101	41	94	26	44	127	309	46	117	0	161	1	32	0	61	470	189	5	81	242	452	3
0	199	219	0	64	23	2	2	24	172	4	50	8	145	2	1	70	1	57	0	3	90	1	0	1	64	0	30	0	41	111	0	0
72	28	21	0	3	88	0	386	60	53	2	238	64	25	1	1	377	501	76	249	31	65	184	0	338	14	0	114	2	109	277	59	9
0	184	70	0	158	159	1	1	37	210	1	51	85	27	0	0	125	0	72	6	3	64	0	4	0	114	0	68	0	13	95	1	0
267	233	19	0	62	497	0	237	299	32	0	70	10	392	1	0	414	347	115	255	25	113	116	3	58	40	2	105	0	121	91	361	9
389	66	92	0	42	73	2	96	49	17	2	39	69	105	0	2	4	384	31	192	244	75	68	0	32	87	2	107	0	83	129	41	9
181	105	46	0	37	67	4	0	63	63	5	66	107	97	347	65	12	2	70	0	542	79	77	38	62	87	330	15	1	9	32	2	10
2	71	277	457	288	203	59	34	58	77	12	66	4	39	0	0	18	342	42	37	4	62	1	0	0	137	0	54	480	14	98	229	5
144	39	72	386	37	70	108	305	80	140	273	64	28	21	120	305	39	119	179	124	420	111	363	337	201	167	444	35	181	87	76	84	15
2	101	30	513	103	164	177	197	52	142	96	55	89	45	135	43	13	74	40	173	3	268	1	48	2	80	263	38	105	242	195	286	7
261	84	160	0	1	39	0	139	41	6	1	82	534	211	311	428	74	235	348	133	78	52	92	139	90	25	23	77	2	28	113	136	11
140	123	144	1	94	155	2	4	204	25	0	107	130	234	1	0	56	3	46	0	228	174	162	0	73	344	0	110	1	119	28	2	8
127	41	36	0	131	485	0	276	86	17	1	43	81	61	0	1	14	199	87	41	627	164	237	0	342	247	0	156	4	88	29	333	9
0	168	227	146	26	77	82	3	32	100	557	19	190	3	107	209	156	3	13	0	1	63	1	75	1	143	96	21	814	186	203	0	6
3	40	90	503	109	127	33	101	130	59	128	36	412	13	159	931	51	352	56	2	1	67	2	31	0	69	405	215	246	64	64	104	7
227	16	57	293	74	57	540	182	100	269	369	69	246	56	248	159	209	78	133	211	449	150	37	74	27	62	198	88	315	15	31	496	15
2	70	156	8	213	174	1	156	131	57	0	75	42	82	2	3	84	96	43	127	2	36	1	4	0	126	0	85	1	534	174	128	1
50	62	20	0	28	109	0	70	99	139	2	164	106	41	0	2	94	78	50	172	115	72	210	1	167	15	1	81	1	64	92	467	9
270	131	267	32	96	40	225	0	7	55	108	428	33	130	68	456	100	0	34	1	297	91	62	175	216	237	72	30	567	101	92	0	14
0	54	13	266	74	231	69	2	80	94	356	229	118	69	187	63	175	0	33	1	5	28	1	196	1	70	172	38	433	60	26	0	6
318	143	89	1	20	166	6	145	436	124	0	24	51	40	0	0	49	98	88	242	82	41	539	6	150	122	0	52	2	280	25	151	9
2	148	252	0	105	17	0	329	199	5	2	99	78	67	316	151	68	98	35	63	0	79	0	246	0	167	211	23	1	137	35	220	3
1	51	117	2	18	102	1	0	250	208	0	143	99	210	203	156	42	0	120	0	0	423	0	404	3	19	235	184	2	93	76	3	2
341	77	29	0	87	35	2	883	95	38	1	154	84	131	1	1	234	346	2	431	23	194	200	1	99	43	1	108	0	36	71	263	9
82	20	111	0	156	60	4	71	142	33	0	28	77	154	1	1	32	569	256	245	11	24	313	5	163	57	2	109	0	35	184	112	9
0	14	5	1	65	31	0	331	59	200	0	146	32	106	402	18	118	54	263	107	0	18	1	515	0	64	109	172	2	96	16	39	3
182	20	172	1	80	228	2	281	25	24	0	105	22	111	3	0	80	32	3	592	102	176	77	3	131	187	1	56	1	107	79	206	9
234	200	97	0	20	123	0	0	11	96	0	82	100	47	3	2	409	2	28	1	176	174	88	7	102	17	2	94	1	240	119	2	8
29	17	123	117	108	111	294	330	11	40	135	14	116	65	92	306	142	175	124	76	263	28	377	197	249	38	268	186	321	97	9	18	15
77	169	188	0	99	137	0	396	177	46	1	25	11	156	0	0	194	280	268	508	49	33	27	1	126	105	1	231	0	80	154	100	9
3	97	193	0	64	58	0	103	43	95	2	126	353	13	1	0	45	119	79	121	1	72	2	4	5	228	0	19	0	19	44	182	1
0	29	82	37	218	9	16	0	57	39	292	77	17	67	142	82	103	3	39	0	0	99	1	48	0	110	133	51	29	85	78	0	6
46	68	105	61	68	118	59	322	80	96	157	172	53	246	1	0	43	97	61	357	176	135	135	0	491	82	3	75	92	81	57	110	13
5	34	108	764	70	217	43	42	245	93	482	79	120	160	1	1	167	61	201	352	3	23	2	0	2	20	5	73	18	126	142	108	5
1	21	146	448	50	63	19	1	159	124	195	32	112	28	95	159	422	0	70	2	0	134	2	44	2	76	98	47	704	206	179	0	6
376	192	235	2	33	28	2	0	90	69	1	136	17	66	0	1	62	2	69	2	267	130	65	0	150	56	0	151	0	101	51	0	8
0	69	40	261	19	172	76	1	19	47	754	418	184	172	196	368	110	0	57	0	5	196	1	64	1	20	96	250	325	203	110	0	6
191	147	68	190	124	170	202	0	22	164	364	111	97	61	202	302	70	0	41	0	400	20	23	247	172	97	96	201	463	128	68	0	14
0	118	103	0	53	122	0	75	89	109	3	47	47	76	1	0	66	117	109	92	0	52	0	0	3	112	0	124	0	52	64	120	1
1	12	103	2	25	210	0	75	35	8	0	367	117	136	136	157	16	33	269	136	0	30	0	261	0	37	101	131	1	185	61	16	3
2	147	33	191	132	116	108	17	76	35	126	46	39	26	2	1	255	118	9	10	0	311	2	0	1	40	7	138	57	65	33	545	5
340	4	73	2	138	21	1	399	84	22	2	268	63	135	114	172	85	79	36	55	48	67	174	304	514	168	68	182	0	82	53	52	11
2	35	167	0	119	76	0	115	57	44	2	87	48	71	7	148	69	84	70	85	0	220	1	230	0	271	95	196	0	160	20	64	3
0	93	106	252	16	171	158	0	40	22	337	41	111	50	371	197	139	0	42	0	1	124	0	248	0	189	118	78	61	83	63	0	6
413	51	16	0	71	6	0	168	101	29	0	209	43	81	1	0	19	144	36	258	104	26	346	0	93	49	2	15	2	75	281	60	9
2	35	76	423	63	99	25	1	26	61	589	95	232	87	0	1	43	2	135	1	1	4	1	0	3	7	2	70	332	84	112	2	4
3	213	113	299	181	176	87	267	147	120	258	61	81	211	2	0	36	222	106	97	4	58	1	0	0	251	1	33	123	212	210	114	5
555	88	90	0	99	157	0	2	43	97	3	62	109	10	104	32	127	1	33	0	88	38	279	351	297	75	104	150	0	98	30	0	10
0	175	93	2	56	7	0	1	56	170	0	17	38	73	861	154	67	2	59	2	1	101	0	156	0	66	44	203	1	135	69	0	2
17	72	73	0	65	236	1	0	105	68	1	216	60	13	76	115	63	2	100	1	119	71	15	255	25	52	55	38	2	116	171	2	10
154	60	52	287	261	9	176	2	63	110	101	16	123	14	273	255	117	1	62	0	225	164	16	110	149	137	125	35	105	76	92	1	14
221	44	59	25	130	74	27	1	82	106	134	58	53	202	117	100	22	1	57	3	169	111	280	275	168	226	265	100	46	149	79	1	14
211	55	118	60	72	17	116	14	239	146	49	99	87	64	24	307	130	135	86	64	32	60	273	138	213	8	306	92	113	176	95	15	15
0	70	22	3	38	166	0	0	114	85	0	145	46	114	334	449	156	3	37	0	1	105	1	457	0	141	78	27	1	61	73	5	2
0	43	130	0	114	1	0	482	66	240	0	94	19	39	3	0	84	61	173	228	1	99	3	1	0	13	1	66	1	107	239	244	1
0	30	32	207	83	133	168	147	30	35	125	41	38	131	1	0	16	78	84	439	2	88	3	0	0	151	1	161	242	93	27	227	5
471	127	15	0	35	108	1	264	50	94	1	88	33	199	7	1	40	82	48	38	71	23	158	0	274	36	1	314	0	80	23	375	9
80	190	88	0	18	8	2	122	18	241	1	179	81	119	90	124	306	113	67	218	183	44	234	121	11	281	176	285	2	65	72	68	11
226	56	44	1	5	21	3	2	74	102	0	33	69	4	1	0	127	0	57	0	74	57	326	3	303	211	1	37	0	54	128	0	8
169	101	11	381	40	171	78	173	125	59	422	41	52	105	178	136	188	197	436	139	71	18	102	312	509	64	335	7	172	110	57	255	15
0	47	134	1	77	101	1	765	336	12	0	30	32	93	157	47	114	112	90	485	1	42	1	47	0	8	116	126	0	47	104	130	3
20	65	82	237	56	68	289	699	63	111	397	245	5	106	354	34	235	43	68	451	281	96	75	60	142	165	489	19	380	107	22	179	15
0	78	122	216	124	121	125	399	22	93	163	78	173	80	60	110	133	173	136	172	0	126	0	556	1	23	129	37	267	20	92	81	7
1	302	107	0	68	46	0	0	186	75	0	93	60	29	15	77	30	0	61	1	1	96	0	127	0	10	202	80	0	23	120	0	2
368	52	36	1	90	97	2	176	34	145	1	55	39	9	0	0	195	256	106	291	88	25	203	2	505	266	0	25	2	1	28	292	9
0	31	95	3	126	23	0	212	52	71	1	26	49	24	432	129	26	116	291	392	0	177	3	341	0	130	167	125	1	31	65	24	3
1	453	169	220	45	61	383	2	26	28	350	45	73	175	32	182	47	1	291	0	1	67	2	21	1	3	248	6	317	133	141	1	6
44	39	16	67	69	31	276	1	53	52	172	113	51	81	83	220	59	0	28	1	281	49	87	367	217	256	127	113	156	72	219	0	14
224	32	41	2	51	43	0	0	160	71	2	247	23	149	70	136	76	0	5	0	96	125	120	235	140	64	67	9	1	109	68	1	10
33	65	25	0	334	258	0	126	24	70	2	62	72	75	0	0	32	159	60	117	130	280	211	3	90	209	0	123	0	125	40	137	9
197	15	234	0	83	48	0	0	84	19	1	60	40	131	186	94	20	1	34	0	104	75	345	110	158	32	39	36	0	37	23	3	10
27	85	64	0	156	82	1	512	37	46	0	19	54	89	0	3	175	216	49	574	40	242	281	0	91	227	0	154	1	46	56	399	9
2	33	163	513	76	74	130	37	66	38	153	152	67	61	405	130	24	23	31	320	0	58	0	182	0	39	139	61	264	67	93	252	7
228	127	20	1	27	319	2	0	4	116	0	135	58	151	1	0	125	1	6	0	169	139	515	0	48	49	1	78	3	89	45	0	8
2	87	43	674	0	59	154	37	16	58	65	103	84	31	25	245	77	75	84	157	0	105	0	30	2	94	239	134	166	175	42	76	7
0	61	41	1	138	246	0	0	168	84	4	215	126	274	510	213	62	2	98	0	1	80	1	50	1	52	437	134	1	72	53	0	2
241	140	149	0	100	55	1	113	321	99	0	29	39	72	1	2	175	108	54	123	233	153	300	0	149	27	0	225	2	410	24	57	9
99	429	226	0	38	137	1	119	80	31	2	11	96	69	0	1	155	488	112	81	113	206	267	1	168	33	1	19	1	209	78	454	9
1	26	12	0	70	103	0	53	110	118	0	153	18	45	481	24	19	55	79	160	0	22	0	642	0	76	631	42	1	107	140	265	3
229	73	168	83	176	68	156	152	246	114	267	105	94	428	41	126	135	145	84	191	285	151	49	162	179	100	120	36	639	183	103	225	15
395	116	1	0	59	48	2	312	34	71	0	29	114	126	86	445	315	217	46	361	1089	47	150	365	29	64	111	82	0	168	77	211	11
1	15	46	48	225	70	76	156	55	99	515	128	50	12	2	0	51	248	74	58	0	66	2	0	3	363	2	23	296	84	142	18	5
0	141	39	42	283	39	79	142	28	66	132	108	115	42	0	1	87	65	66	67	1	94	0	2	1	222	1	32	40	94	178	105	5
5	37	49	1	118	81	0	15	18	155	1	132	67	1	155	358	55	82	92	336	1	53	0	152	0	247	357	153	2	76	90	97	3
2	162	111	272	128	10	213	574	142	134	116	287	180	25	65	89	91	154	94	242	2	29	0	275	0	14	155	51	141	20	22	54	7
106	50	92	62	134	54	387	2	33	35	207	126	2	31	240	510	80	4	1	0	89	272	59	106	251	35	95	31	103	112	110	0	14
2	8	56	381	69	160	97	231	145	271	162	10	90	26	113	447	60	401	27	576	0	100	4	74	2	60	120	97	56	104	200	669	7
7	87	42	48	69	328	540	158	117	81	310	238	3	46	54	252	17	132	198	318	13	138	375	458	41	160	223	98	192	105	119	357	15
88	64	187	2	43	126	1	5	122	44	0	61	60	38	1	1	121	1	40	0	750	104	39	0	94	55	0	62	0	42	11	2	8
0	41	69	42	33	63	228	0	47	78	236	77	45	4	0	1	14	0	91	1	2	12	0	0	0	214	3	62	114	172	131	0	4
98	60	122	0	62	20	1	0	38	121	0	97	85	41	0	0	86	2	52	10	54	162	280	0	695	29	0	67	0	30	82	2	8
341	38	57	7	126	114	94	7	146	128	65	181	12	98	5	0	34	144	134	55	59	119	26	0	87	11	0	14	191	20	158	338	13
0	319	110	389	21	82	79	414	28	40	406	104	159	46	1	1	62	247	103	465	0	13	2	2	2	559	0	97	88	81	54	177	5
1	155	198	0	78	162	1	218	229	90	2	42	21	86	87	149	108	101	8	88	0	14	0	291	2	124	210	43	0	26	58	270	3
